content_id,publisher,topic,quality_score,region_restriction,publish_timestamp
101,TheDailyNews,politics,0.9,NA,2025-04-01T08:20:00Z
102,FocusTech,technology,0.55,ALL,2025-04-01T09:45:00Z
103,SportZone,sports,0.78,EU,2025-04-01T11:10:00Z
104,InsightPost,politics,0.93,NA,2025-04-01T12:00:00Z
105,DigiTrends,technology,0.72,EU,2025-04-01T13:40:00Z
106,WorldWideNews,politics,0.5,AS,2025-04-01T14:15:00Z
107,GlobalSports,sports,0.69,ALL,2025-04-01T15:05:00Z
108,TechGuru,technology,0.84,ALL,2025-04-01T16:25:00Z
109,NewsNow,business,0.41,NA,2025-04-01T17:10:00Z
110,NewHorizons,entertainment,0.47,EU,2025-04-01T17:55:00Z
111,TheDailyNews,technology,0.73,ALL,2025-04-01T08:30:00Z
112,InsightPost,business,0.8,EU,2025-04-01T09:20:00Z
113,DigiTrends,politics,0.6,AS,2025-04-01T10:10:00Z
114,SportZone,sports,0.65,NA,2025-04-01T10:55:00Z
115,FocusTech,technology,0.77,ALL,2025-04-01T11:40:00Z
116,GlobalSports,sports,0.49,EU,2025-04-01T12:05:00Z
117,NewHorizons,entertainment,0.91,ALL,2025-04-01T12:50:00Z
118,NewsNow,business,0.58,NA,2025-04-01T13:15:00Z
119,TechGuru,technology,0.69,AS,2025-04-01T14:40:00Z
120,TheDailyNews,politics,0.94,ALL,2025-04-01T15:30:00Z
121,WorldWideNews,sports,0.44,ALL,2025-04-01T16:00:00Z
122,FocusTech,technology,0.82,EU,2025-04-01T17:00:00Z
123,InsightPost,politics,0.56,NA,2025-04-01T17:20:00Z
124,SportZone,business,0.66,ALL,2025-04-02T08:10:00Z
125,NewHorizons,entertainment,0.48,EU,2025-04-02T08:50:00Z
126,DigiTrends,technology,0.64,AS,2025-04-02T09:10:00Z
127,NewsNow,politics,0.67,ALL,2025-04-02T09:35:00Z
128,GlobalSports,sports,0.75,NA,2025-04-02T10:25:00Z
129,TechGuru,business,0.59,EU,2025-04-02T11:00:00Z
130,WorldWideNews,politics,0.87,ALL,2025-04-02T11:25:00Z
131,FocusTech,entertainment,0.51,NA,2025-04-02T12:05:00Z
132,InsightPost,politics,0.61,ALL,2025-04-02T12:40:00Z
133,TheDailyNews,technology,0.78,EU,2025-04-02T13:00:00Z
134,SportZone,sports,0.62,AS,2025-04-02T13:40:00Z
135,NewHorizons,entertainment,0.55,ALL,2025-04-02T14:05:00Z
136,NewsNow,business,0.45,NA,2025-04-02T14:30:00Z
137,GlobalSports,sports,0.76,EU,2025-04-02T15:05:00Z
138,DigiTrends,technology,0.92,ALL,2025-04-02T15:25:00Z
139,TechGuru,politics,0.49,AS,2025-04-02T16:10:00Z
140,WorldWideNews,business,0.69,EU,2025-04-02T16:50:00Z
141,FocusTech,technology,0.9,ALL,2025-04-02T17:05:00Z
