user_id,content_id,click,dwell_time,share,comment,hide,event_timestamp
1,101,1,12.4,0,1,0,2025-04-01T09:00:00Z
1,108,1,15,1,0,0,2025-04-01T10:45:00Z
2,101,1,5.1,0,0,0,2025-04-01T09:10:00Z
2,104,0,0,0,0,1,2025-04-01T13:05:00Z
3,136,0,3.2,0,0,0,2025-04-02T14:50:00Z
3,107,1,7,1,1,0,2025-04-01T15:30:00Z
4,110,1,9.5,0,2,0,2025-04-01T13:30:00Z
4,104,1,10.2,0,2,0,2025-04-01T13:35:00Z
5,103,1,9.4,1,0,0,2025-04-01T11:30:00Z
5,107,1,5,0,0,0,2025-04-01T15:10:00Z
6,102,1,6.5,0,1,0,2025-04-01T09:25:00Z
7,141,1,3.8,0,0,0,2025-04-02T17:10:00Z
7,106,0,0,0,0,0,2025-04-01T15:45:00Z
8,101,1,8.8,0,0,0,2025-04-01T09:25:00Z
9,124,1,2.5,0,1,0,2025-04-02T08:20:00Z
10,108,0,1.1,0,0,0,2025-04-01T17:10:00Z
11,130,1,4,0,0,1,2025-04-02T11:40:00Z
12,112,0,0,0,0,0,2025-04-01T09:25:00Z
13,173,1,7.1,1,2,0,2025-04-04T13:15:00Z
14,148,1,2.2,0,0,0,2025-04-03T11:40:00Z
15,120,1,10.5,0,1,0,2025-04-01T16:10:00Z
16,158,0,5.2,0,0,0,2025-04-03T16:35:00Z
17,134,1,11,1,0,0,2025-04-02T14:00:00Z
18,199,0,2.1,0,0,0,2025-04-04T22:58:00Z
19,105,1,9.3,0,0,0,2025-04-01T13:45:00Z
20,200,1,12.2,1,0,0,2025-04-04T23:12:00Z
21,131,1,3.7,0,0,0,2025-04-02T12:07:00Z
22,166,0,0.5,0,0,0,2025-04-04T09:47:00Z
23,108,1,13.4,0,0,0,2025-04-01T16:30:00Z
24,109,0,2.8,0,0,0,2025-04-01T17:15:00Z
25,142,0,1.1,0,0,0,2025-04-02T17:47:00Z
26,164,1,9.6,0,1,0,2025-04-04T08:57:00Z
27,133,1,2.1,0,0,0,2025-04-02T13:15:00Z
28,155,1,4.5,0,1,0,2025-04-03T14:55:00Z
29,189,1,8.9,0,0,0,2025-04-04T19:22:00Z
30,115,0,1.2,0,0,1,2025-04-01T11:45:00Z
31,196,1,3.1,0,2,0,2025-04-04T21:52:00Z
32,141,1,5.9,0,0,0,2025-04-02T17:15:00Z
33,177,1,10.3,0,1,0,2025-04-04T14:25:00Z
34,195,0,0,0,0,0,2025-04-04T21:35:00Z
35,162,1,8.7,1,0,0,2025-04-04T08:10:00Z
36,150,1,2.4,0,0,0,2025-04-03T12:12:00Z
37,159,0,0.7,0,0,0,2025-04-03T16:57:00Z
38,154,1,14,1,0,0,2025-04-03T14:12:00Z
39,130,1,10.1,0,1,0,2025-04-02T11:27:00Z
40,178,0,1.9,0,0,0,2025-04-04T15:05:00Z
