user_id,device_type,region,topic_affinity_politics,topic_affinity_tech,topic_affinity_sports,avg_session_length,blocklist
1,mobile,NA,0.77,0.12,0.58,8.94,
2,mobile,EU,0.34,0.86,0.47,3.93,publisher_x
3,desktop,AS,0.02,0.63,0.91,4.81,
4,tablet,SA,0.91,0.33,0.06,9.52,
5,desktop,EU,0.66,0.73,0.19,6.11,source_y
6,mobile,NA,0.89,0.3,0.41,2.19,
7,mobile,AS,0.22,0.94,0.51,7.34,source_y
8,tablet,AF,0.1,0.77,0.73,9,
9,desktop,OC,0.93,0.88,0.21,5.69,
10,mobile,EU,0.12,0.43,0.82,4.04,publisher_x
11,desktop,NA,0.28,0.95,0.1,9.13,
12,tablet,AS,0.41,0.37,0.64,2.57,
13,mobile,AF,0.63,0.18,0.97,7.42,
14,desktop,AF,0.05,0.26,0.71,6.8,
15,mobile,OC,0.56,0.59,0.32,2.31,publisher_x
16,tablet,NA,0.31,0.78,0.6,5.05,publisher_x
17,mobile,EU,0.82,0.46,0.53,7.96,
18,desktop,AS,0.03,0.62,0.89,3.48,source_y
19,tablet,NA,0.94,0.25,0.12,4.07,
20,tablet,OC,0.29,0.17,0.7,2.09,
21,mobile,SA,0.45,0.8,0.82,3.87,
22,desktop,EU,0.54,0.28,0.37,9.72,
23,mobile,NA,0.97,0.04,0.03,5.22,publisher_x;source_y
24,desktop,AF,0.44,0.12,0.38,4.57,
25,tablet,NA,0.86,0.09,0.6,2.91,
26,mobile,SA,0.14,0.55,0.86,6.58,publisher_x
27,mobile,AF,0.17,0.48,0.74,9.98,
28,desktop,OC,0.62,0.83,0.5,8.6,
29,mobile,AS,0.01,0.24,0.89,5.69,
30,desktop,EU,0.35,0.65,0.42,2.45,
31,tablet,NA,0.58,0.19,0.47,2.04,source_y
32,mobile,OC,0.25,0.31,0.96,3.11,
33,desktop,SA,0.7,0.59,0.03,8.72,
34,tablet,NA,0.42,0.01,0.4,5.12,
35,mobile,AS,0.03,0.95,0.62,7.5,publisher_x
36,desktop,EU,0.65,0.85,0.59,2.66,
37,tablet,AF,0.39,0.72,0.39,5.78,
38,mobile,NA,0.83,0.38,0.24,9.04,
39,desktop,AS,0.92,0.18,0.37,4.44,
40,mobile,EU,0.47,0.57,0.94,8.47,
41,tablet,OC,0.19,0.86,0.81,7.17,source_y
42,desktop,NA,0.76,0.91,0.29,5.65,publisher_x
43,mobile,EU,0.22,0.76,0.58,9.65,
44,mobile,AS,0.08,0.63,0.63,6.72,
45,desktop,SA,0.68,0.46,0.02,5.06,
46,mobile,NA,0.12,0.39,0.65,3.15,
47,tablet,EU,0.88,0.95,0.15,5.98,publisher_x
48,desktop,AF,0.5,0.06,0.81,9.08,
49,mobile,OC,0.55,0.52,0.37,2.16,publisher_x;source_y
50,mobile,NA,0.77,0.58,0.02,2.2,
51,desktop,AS,0.46,0.19,0.95,6.34,
52,tablet,SA,0.06,0.92,0.23,5.41,source_y
53,mobile,EU,0.8,0.44,0.71,4.76,
54,desktop,NA,0.32,0.77,0.2,7.02,
55,mobile,AS,0.2,0.21,0.86,8.11,publisher_x
56,desktop,AF,0.42,0.59,0.45,2.69,
57,tablet,OC,0.91,0.71,0.33,9.76,
58,mobile,EU,0.74,0.88,0.42,5.28,
59,tablet,NA,0.38,0.94,0.76,6.85,source_y
60,mobile,AS,0.16,0.12,0.67,7.22,
61,desktop,SA,0.81,0.51,0.44,9.32,
62,mobile,AF,0.07,0.83,0.37,3.63,
63,desktop,OC,0.24,0.09,0.92,4.15,
64,tablet,NA,0.37,0.11,0.2,5.99,
65,mobile,AS,0.9,0.69,0.62,8.79,
66,desktop,EU,0.48,0.95,0.53,4.93,publisher_x
67,tablet,SA,0.03,0.43,0.87,3.19,
68,mobile,AF,0.58,0.14,0.6,8.25,
69,mobile,OC,0.72,0.92,0.48,3.56,publisher_x
70,desktop,NA,0.06,0.44,0.95,7.47,
71,mobile,AS,0.81,0.57,0.29,2.34,source_y
72,desktop,EU,0.55,0.74,0.82,9.11,
73,tablet,NA,0.62,0.31,0.24,3.9,
74,mobile,OC,0.19,0.12,0.88,8.71,source_y
75,tablet,SA,0.77,0.58,0.07,5.46,
76,mobile,AF,0.48,0.9,0.36,2.67,publisher_x;source_y
77,desktop,OC,0.93,0.72,0.31,6.58,
78,tablet,NA,0.14,0.86,0.88,9.47,
79,mobile,AS,0.61,0.11,0.99,4.37,
80,desktop,NA,0.82,0.63,0.05,8.12,
81,tablet,EU,0.32,0.97,0.26,6.65,
82,mobile,AF,0.53,0.45,0.31,2.08,
83,desktop,AS,0.96,0.67,0.66,9.53,publisher_x
84,mobile,OC,0.68,0.34,0.85,3.52,
85,desktop,EU,0.09,0.21,0.7,4.09,source_y
86,mobile,NA,0.24,0.99,0.5,8.36,
87,tablet,AF,0.49,0.38,0.12,2.4,
88,desktop,SA,0.77,0.1,0.94,7.95,
89,mobile,AS,0.11,0.68,0.9,9.33,publisher_x
90,tablet,OC,0.64,0.17,0.55,3.06,
91,mobile,EU,0.71,0.62,0.39,2.57,
92,desktop,NA,0.87,0.59,0.15,6.39,
93,tablet,AS,0.02,0.76,0.78,7.12,source_y
94,mobile,EU,0.59,0.83,0.99,4.73,
95,desktop,AF,0.67,0.32,0.02,5.45,
96,mobile,OC,0.85,0.64,0.51,2.93,publisher_x
97,tablet,NA,0.6,0.79,0.27,3.17,
98,mobile,AF,0.33,0.07,0.69,8.51,
99,desktop,EU,0.16,0.49,0.84,7.78,publisher_x
100,mobile,NA,0.73,0.29,0.46,9.25,
